Sample	posterior	treeLikelihood	birthDeath	clockRate
14950000	-13737.226201776946	-13643.071459433733	-94.15474234321296	0.0010223354638793842
15000000	-13751.36982038897	-13642.649223947154	-108.72059644181739	5.080198976457023E-4
15050000	-13734.599211962894	-13638.392487025454	-96.20672493744019	8.966727164790224E-4
15100000	-13738.117784647982	-13642.362955193237	-95.75482945474552	9.328728899249279E-4
15150000	-13735.33839505247	-13641.672343146867	-93.66605190560149	0.0010484859251255973
15200000	-13758.050298763828	-13643.892050153128	-114.15824861070053	4.250010400340055E-4
15250000	-13741.14030521554	-13642.96720630553	-98.17309891000974	8.10050940335404E-4
15300000	-13740.273937432	-13641.13334790821	-99.14058952379116	7.732211121133219E-4
15350000	-13733.221487396671	-13641.047788457632	-92.17369893903944	0.0011321383413189464
15400000	-13741.22081817389	-13642.995972944911	-98.22484522897923	8.34674995299834E-4
15450000	-13731.539053382092	-13643.224282904828	-88.31477047726378	0.001574141554119247
15500000	-13739.497042904206	-13637.510817666916	-101.9862252372904	6.798505482940494E-4
15550000	-13741.20746862044	-13639.471077720067	-101.73639090037254	6.583648568303939E-4
15600000	-13739.059063796489	-13644.320922789895	-94.73814100659453	9.632041333028446E-4
15650000	-13743.578194579297	-13646.944389158083	-96.63380542121322	8.428472771303113E-4
15700000	-13733.476462224295	-13638.164668628007	-95.31179359628763	9.421419717986846E-4
15750000	-13746.94976674625	-13642.110374655433	-104.83939209081743	5.729232031235648E-4
15800000	-13734.471861052545	-13642.386611026268	-92.08525002627688	0.0011818970470357892
15850000	-13736.389213859831	-13642.086600088694	-94.30261377113663	9.96342642439577E-4
15900000	-13742.954561011498	-13644.159846304277	-98.79471470722095	8.248435308689022E-4
15950000	-13740.274760401848	-13648.179975451278	-92.09478495057064	0.0011969383153771832
16000000	-13748.669468535432	-13646.881585094017	-101.78788344141566	6.960345348541437E-4
16050000	-13738.78835369086	-13646.188320167968	-92.60003352289168	0.001120478146840579
16100000	-13736.818310762319	-13639.641759096347	-97.17655166597231	8.626739274016511E-4
16150000	-13741.4801523017	-13642.275065078487	-99.20508722321294	7.51919448664605E-4
16200000	-13734.762260865748	-13640.95287998135	-93.80938088439748	0.0010550267915413688
16250000	-13734.37774293194	-13639.575378444595	-94.80236448734472	9.715418177626006E-4
16300000	-13734.131434392431	-13641.983142452978	-92.14829193945329	0.0011829234099868602
16350000	-13743.470499825866	-13645.60240698767	-97.86809283819643	8.362155942106415E-4
16400000	-13744.218783478787	-13641.720955116525	-102.49782836226258	6.749920957819658E-4
16450000	-13746.190043764562	-13647.055973318662	-99.13407044589943	7.57744163408846E-4
16500000	-13739.166028222859	-13640.918187606181	-98.24784061667678	8.208356444868436E-4
16550000	-13732.326679309388	-13641.132380757223	-91.19429855216633	0.001262315145007956
16600000	-13736.625030425123	-13643.540351559477	-93.084678865646	0.0010972502450610484
16650000	-13740.971681586754	-13640.2420695445	-100.72961204225453	7.138126358012634E-4
16700000	-13739.019571904772	-13643.259753037468	-95.7598188673028	9.257023812820242E-4
